id,name,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,number_of_reviews_l30d,calculated_host_listings_count,availability_365,review_scores_rating
2168943,South Granville 2 bedroom townhome,11065739,Catherine,49.25972,-123.14269,Entire home/apt,$175.00,7,14,2018-03-19,0,1,0,4.93
2183209,Kitsilano PENTHOUSE,11132986,Daniel,49.26597,-123.15633,Entire home/apt,$100.00,30,135,2023-02-04,0,1,354,4.72
2188113,5 star Luxury ShangriLa hotel condo,477297,Hanna & Michael,49.28514,-123.12275,Entire home/apt,$400.00,30,36,2019-11-30,0,1,365,4.86
2198419,Gorgeous home in Yaletown,11214436,Kate,49.2773,-123.12294,Entire home/apt,$115.00,180,142,2016-09-01,0,1,286,4.94
2216062,Bright Kitsilano Garden Apartment,11304608,Julie,49.26992,-123.18596,Entire home/apt,$85.00,28,60,2022-12-28,0,1,89,4.97
2217245,Private Room and Bath - Excellent Location,11311212,Laine,49.25999707,-123.1416656,Private room,$99.00,2,0,,0,1,27,
2273714,Charming Apartment just off Commercial Drive,1710238,Emily,49.27228,-123.06946,Entire home/apt,$150.00,3,43,2021-08-16,0,1,15,4.8
2282114,Perfect spot for your next family vacation,19916,Cathy + Tom,49.23792,-123.18224,Entire home/apt,$750.00,7,20,2022-07-26,0,1,193,5
2361393,Cozy Vancouver Suite near a park and transit,366483,Michelle,49.239,-123.08606,Entire home/apt,$95.00,45,128,2022-07-05,0,3,0,4.67
2365994,Gem Modern Apartment in Yaletown,12014048,Hayfa,49.28298,-123.12339,Entire home/apt,$150.00,30,96,2019-10-26,0,1,2,4.84
2454353,Vancouver Quality Coach House,10997524,Mark & Fran,49.23748,-123.08735,Entire home/apt,$125.00,30,180,2018-10-28,0,1,72,4.97
2468591,Monthly- Marinaside Ocean View Apartment -Yaletown,8999638,Sweet Home,49.27449,-123.11679,Entire home/apt,$175.00,90,9,2019-07-01,0,1,332,4.67
2472791,Kits beach garden apartment. PETS+Children Welcome,2385551,Livio,49.27075,-123.1541,Entire home/apt,$350.00,5,14,2023-01-16,0,1,240,4.79
2493042,False creek penthouse with view,11852508,Sam,49.26254,-123.13054,Entire home/apt,$133.00,30,1,2023-02-04,0,1,214,5
2502137,New Edwardian home,7110433,Suzanna,49.25877,-123.08299,Entire home/apt,$90.00,30,53,2022-12-01,0,1,290,4.94
2520259,Popular Main street One bedroom garden suite,1334665,Ga??lle And James,49.24704,-123.09809,Entire home/apt,$120.00,4,10,2019-11-29,0,2,85,4.6
2521520,2 bedroom  house Central location (M),12487338,Daily,49.21083,-123.04264,Entire home/apt,$137.00,30,16,2018-08-05,0,1,365,4.44
2532975,Charming Cozy new 2 bed Garden suite  w/patio,988889,Mireille,49.28507,-123.05247,Entire home/apt,$225.00,5,46,2020-02-17,0,1,241,4.83
2576878,"Bright 1 bed suite, great location",4217281,Jennifer,49.25865,-123.12294,Entire home/apt,$106.00,30,7,2022-02-28,0,3,139,4.83
2592307,Ann's Place,13270979,Ann,49.25222,-123.1186,Entire home/apt,$112.00,2,651,2023-03-08,8,1,155,4.92
2632171,Yvette's place,13480596,Yvette,49.2883,-123.04216,Private room,$107.00,1,81,2022-11-25,0,3,358,4.61
